"country_code","name","year","age","popM","popF","pop"
296,"Kiribati",1949,65,0.097,0.113,0.21
296,"Kiribati",1949,66,0.094,0.111,0.205
296,"Kiribati",1949,67,0.09,0.108,0.198
296,"Kiribati",1949,68,0.087,0.104,0.191
296,"Kiribati",1949,69,0.083,0.101,0.184
296,"Kiribati",1949,70,0.079,0.097,0.176
296,"Kiribati",1949,71,0.074,0.092,0.166
296,"Kiribati",1949,72,0.069,0.088,0.157
296,"Kiribati",1949,73,0.065,0.083,0.148
296,"Kiribati",1949,74,0.06,0.078,0.138
296,"Kiribati",1949,75,0.055,0.072,0.127
296,"Kiribati",1949,76,0.05,0.067,0.117
296,"Kiribati",1949,77,0.045,0.061,0.106
296,"Kiribati",1949,78,0.04,0.055,0.095
296,"Kiribati",1949,79,0.035,0.049,0.084
296,"Kiribati",1949,80,0.03,0.044,0.074
296,"Kiribati",1949,81,0.026,0.038,0.064
296,"Kiribati",1949,82,0.022,0.033,0.055
296,"Kiribati",1949,83,0.018,0.028,0.046
296,"Kiribati",1949,84,0.015,0.024,0.039
296,"Kiribati",1949,85,0.012,0.019,0.031
296,"Kiribati",1949,86,0.01,0.016,0.026
296,"Kiribati",1949,87,0.008,0.013,0.021
296,"Kiribati",1949,88,0.006,0.01,0.016
296,"Kiribati",1949,89,0.004,0.008,0.012
296,"Kiribati",1949,90,0.003,0.006,0.009
296,"Kiribati",1949,91,0.002,0.004,0.006
296,"Kiribati",1949,92,0.002,0.003,0.005
296,"Kiribati",1949,93,0.001,0.002,0.003
296,"Kiribati",1949,94,0.001,0.002,0.003
296,"Kiribati",1949,95,0,0.001,0.001
296,"Kiribati",1949,96,0,0.001,0.001
296,"Kiribati",1949,97,0,0,0
296,"Kiribati",1949,98,0,0,0
296,"Kiribati",1949,99,0,0,0
296,"Kiribati",1949,100,0,0,0
296,"Kiribati",1950,0,0.76,0.722,1.482
296,"Kiribati",1950,1,0.689,0.659,1.348
296,"Kiribati",1950,2,0.618,0.611,1.229
296,"Kiribati",1950,3,0.551,0.557,1.108
296,"Kiribati",1950,4,0.513,0.525,1.038
296,"Kiribati",1950,5,0.482,0.499,0.981
296,"Kiribati",1950,6,0.455,0.478,0.933
296,"Kiribati",1950,7,0.432,0.459,0.891
296,"Kiribati",1950,8,0.41,0.442,0.852
296,"Kiribati",1950,9,0.393,0.427,0.82
296,"Kiribati",1950,10,0.378,0.414,0.792
296,"Kiribati",1950,11,0.365,0.402,0.767
296,"Kiribati",1950,12,0.354,0.39,0.744
296,"Kiribati",1950,13,0.346,0.379,0.725
296,"Kiribati",1950,14,0.34,0.371,0.711
296,"Kiribati",1950,15,0.336,0.363,0.699
296,"Kiribati",1950,16,0.334,0.357,0.691
296,"Kiribati",1950,17,0.332,0.352,0.684
296,"Kiribati",1950,18,0.332,0.348,0.68
296,"Kiribati",1950,19,0.332,0.343,0.675
296,"Kiribati",1950,20,0.33,0.337,0.667
296,"Kiribati",1950,21,0.327,0.331,0.658
296,"Kiribati",1950,22,0.323,0.323,0.646
296,"Kiribati",1950,23,0.318,0.315,0.633
296,"Kiribati",1950,24,0.31,0.306,0.616
296,"Kiribati",1950,25,0.302,0.296,0.598
296,"Kiribati",1950,26,0.292,0.285,0.577
296,"Kiribati",1950,27,0.28,0.273,0.553
296,"Kiribati",1950,28,0.268,0.262,0.53
296,"Kiribati",1950,29,0.257,0.252,0.509
296,"Kiribati",1950,30,0.247,0.244,0.491
296,"Kiribati",1950,31,0.238,0.239,0.477
296,"Kiribati",1950,32,0.231,0.235,0.466
296,"Kiribati",1950,33,0.225,0.232,0.457
296,"Kiribati",1950,34,0.219,0.229,0.448
296,"Kiribati",1950,35,0.213,0.227,0.44
296,"Kiribati",1950,36,0.207,0.224,0.431
296,"Kiribati",1950,37,0.202,0.221,0.423
296,"Kiribati",1950,38,0.197,0.218,0.415
296,"Kiribati",1950,39,0.192,0.214,0.406
296,"Kiribati",1950,40,0.187,0.209,0.396
296,"Kiribati",1950,41,0.183,0.204,0.387
296,"Kiribati",1950,42,0.178,0.198,0.376
296,"Kiribati",1950,43,0.174,0.192,0.366
296,"Kiribati",1950,44,0.171,0.187,0.358
296,"Kiribati",1950,45,0.168,0.182,0.35
296,"Kiribati",1950,46,0.165,0.178,0.343
296,"Kiribati",1950,47,0.162,0.176,0.338
296,"Kiribati",1950,48,0.16,0.173,0.333
296,"Kiribati",1950,49,0.157,0.17,0.327
296,"Kiribati",1950,50,0.153,0.167,0.32
296,"Kiribati",1950,51,0.149,0.164,0.313
296,"Kiribati",1950,52,0.139,0.154,0.293
296,"Kiribati",1950,53,0.126,0.138,0.264
296,"Kiribati",1950,54,0.119,0.13,0.249
296,"Kiribati",1950,55,0.114,0.125,0.239
296,"Kiribati",1950,56,0.111,0.121,0.232
296,"Kiribati",1950,57,0.111,0.12,0.231
296,"Kiribati",1950,58,0.11,0.12,0.23
296,"Kiribati",1950,59,0.109,0.12,0.229
296,"Kiribati",1950,60,0.106,0.119,0.225
296,"Kiribati",1950,61,0.105,0.119,0.224
296,"Kiribati",1950,62,0.103,0.117,0.22
296,"Kiribati",1950,63,0.101,0.115,0.216
296,"Kiribati",1950,64,0.098,0.114,0.212
296,"Kiribati",1950,65,0.095,0.112,0.207
296,"Kiribati",1950,66,0.092,0.108,0.2
