"country_code","name","year","age","mxM","mxF","mxB"
296,"Kiribati",1950,0,0.17414944,0.14903891,0.16191425
296,"Kiribati",1950,1,0.03800372,0.03876945,0.0383812
296,"Kiribati",1950,2,0.0241572,0.02465644,0.02440669
296,"Kiribati",1950,3,0.01558357,0.01592471,0.01575554
296,"Kiribati",1950,4,0.01036216,0.01061703,0.01049146
296,"Kiribati",1950,5,0.00722006,0.00743228,0.00732842
296,"Kiribati",1950,6,0.0053499,0.00555032,0.00545284
296,"Kiribati",1950,7,0.0042638,0.00447263,0.00437173
296,"Kiribati",1950,8,0.00365464,0.00388774,0.00377584
296,"Kiribati",1950,9,0.00335314,0.00362551,0.0034953
296,"Kiribati",1950,10,0.00325171,0.00357546,0.00342114
296,"Kiribati",1950,11,0.00328494,0.00367021,0.00348684
296,"Kiribati",1950,12,0.00341195,0.00386176,0.00364751
296,"Kiribati",1950,13,0.00360157,0.00410937,0.00386706
296,"Kiribati",1950,14,0.00384149,0.00438981,0.00412723
296,"Kiribati",1950,15,0.00412657,0.00468427,0.00441577
296,"Kiribati",1950,16,0.00446211,0.00498923,0.00473402
296,"Kiribati",1950,17,0.00485768,0.00530461,0.00508698
296,"Kiribati",1950,18,0.00531129,0.00562761,0.00547256
296,"Kiribati",1950,19,0.00581001,0.00595254,0.00588222
296,"Kiribati",1950,20,0.00631847,0.00626586,0.00629195
296,"Kiribati",1950,21,0.00678242,0.00655112,0.00666641
296,"Kiribati",1950,22,0.00715525,0.00679621,0.00697614
296,"Kiribati",1950,23,0.00740188,0.00699349,0.00719881
296,"Kiribati",1950,24,0.00752983,0.00715073,0.00734181
296,"Kiribati",1950,25,0.00757806,0.00728304,0.00743216
296,"Kiribati",1950,26,0.00759923,0.00741186,0.0075067
296,"Kiribati",1950,27,0.00765131,0.00755939,0.00760589
296,"Kiribati",1950,28,0.00776639,0.0077355,0.00775111
296,"Kiribati",1950,29,0.00795741,0.00794379,0.00795066
296,"Kiribati",1950,30,0.00821648,0.00817407,0.00819532
296,"Kiribati",1950,31,0.00851679,0.00841015,0.00846319
296,"Kiribati",1950,32,0.00883482,0.00863825,0.00873537
296,"Kiribati",1950,33,0.00915118,0.0088469,0.00899619
296,"Kiribati",1950,34,0.00946187,0.0090377,0.00924408
296,"Kiribati",1950,35,0.00978114,0.00921919,0.00949022
296,"Kiribati",1950,36,0.010128,0.0094044,0.00975103
296,"Kiribati",1950,37,0.01052591,0.00960763,0.01004496
296,"Kiribati",1950,38,0.01098717,0.00983181,0.01037937
296,"Kiribati",1950,39,0.01150658,0.01007286,0.01075054
296,"Kiribati",1950,40,0.01206712,0.01031633,0.01114379
296,"Kiribati",1950,41,0.0126348,0.01054271,0.01153263
296,"Kiribati",1950,42,0.01318167,0.01074505,0.01190096
296,"Kiribati",1950,43,0.01369726,0.01092633,0.01224656
296,"Kiribati",1950,44,0.01419062,0.01111373,0.01258661
296,"Kiribati",1950,45,0.01470502,0.01135025,0.01296169
296,"Kiribati",1950,46,0.01528994,0.01168115,0.01341598
296,"Kiribati",1950,47,0.01599557,0.01215403,0.01400251
296,"Kiribati",1950,48,0.0168595,0.01278855,0.0147491
296,"Kiribati",1950,49,0.01787973,0.01358214,0.01564689
296,"Kiribati",1950,50,0.01903508,0.01449912,0.01666932
296,"Kiribati",1950,51,0.02026809,0.01547029,0.01775726
296,"Kiribati",1950,52,0.02151695,0.0164379,0.01886227
296,"Kiribati",1950,53,0.02275247,0.01735924,0.01994401
296,"Kiribati",1950,54,0.02396947,0.01824826,0.02098995
296,"Kiribati",1950,55,0.0252294,0.01917712,0.02207931
296,"Kiribati",1950,56,0.0266165,0.02024241,0.02330354
296,"Kiribati",1950,57,0.02821869,0.02156521,0.02475288
296,"Kiribati",1950,58,0.03012073,0.02322565,0.02651362
296,"Kiribati",1950,59,0.0323456,0.02525422,0.02861903
296,"Kiribati",1950,60,0.03488794,0.02761813,0.03105022
296,"Kiribati",1950,61,0.03768805,0.03019539,0.03371438
296,"Kiribati",1950,62,0.04065879,0.03285916,0.03651
296,"Kiribati",1950,63,0.0437459,0.035498,0.03934485
296,"Kiribati",1950,64,0.04691307,0.03808385,0.04217573
296,"Kiribati",1950,65,0.05019954,0.0407168,0.04509121
