name,year,age,mig
Kiribati,2025,63,-0.002
Kiribati,2025,64,-0.002
Kiribati,2025,65,-0.002
Kiribati,2025,66,-0.002
Kiribati,2025,67,-0.002
Kiribati,2025,68,-0.002
Kiribati,2025,69,-0.002
Kiribati,2025,70,-0.002
Kiribati,2025,71,-0.002
Kiribati,2025,72,-0.002
Kiribati,2025,73,-0.002
Kiribati,2025,74,-0.002
Kiribati,2025,75,-0.002
Kiribati,2025,76,0
Kiribati,2025,77,0
Kiribati,2025,78,0
Kiribati,2025,79,0
Kiribati,2025,80,0
Kiribati,2025,81,0
Kiribati,2025,82,0
Kiribati,2025,83,0
Kiribati,2025,84,0
Kiribati,2025,85,0
Kiribati,2025,86,0
Kiribati,2025,87,0
Kiribati,2025,88,0
Kiribati,2025,89,0
Kiribati,2025,90,0
Kiribati,2025,91,0
Kiribati,2025,92,0
Kiribati,2025,93,0
Kiribati,2025,94,0
Kiribati,2025,95,0
Kiribati,2025,96,0
Kiribati,2025,97,0
Kiribati,2025,98,0
Kiribati,2025,99,0
Kiribati,2025,100,0
Kiribati,2026,0,-0.011
Kiribati,2026,1,-0.01
Kiribati,2026,2,-0.009
Kiribati,2026,3,-0.008
Kiribati,2026,4,-0.007
Kiribati,2026,5,-0.007
Kiribati,2026,6,-0.006
Kiribati,2026,7,-0.006
Kiribati,2026,8,-0.005
Kiribati,2026,9,-0.005
Kiribati,2026,10,-0.005
Kiribati,2026,11,-0.004
Kiribati,2026,12,-0.004
Kiribati,2026,13,-0.004
Kiribati,2026,14,-0.004
Kiribati,2026,15,-0.004
Kiribati,2026,16,-0.004
Kiribati,2026,17,-0.007
Kiribati,2026,18,-0.009
Kiribati,2026,19,-0.012
Kiribati,2026,20,-0.014
Kiribati,2026,21,-0.016
Kiribati,2026,22,-0.016
Kiribati,2026,23,-0.017
Kiribati,2026,24,-0.017
Kiribati,2026,25,-0.016
Kiribati,2026,26,-0.015
Kiribati,2026,27,-0.015
Kiribati,2026,28,-0.013
Kiribati,2026,29,-0.013
Kiribati,2026,30,-0.011
Kiribati,2026,31,-0.011
Kiribati,2026,32,-0.01
Kiribati,2026,33,-0.009
Kiribati,2026,34,-0.008
Kiribati,2026,35,-0.007
Kiribati,2026,36,-0.007
Kiribati,2026,37,-0.006
Kiribati,2026,38,-0.006
Kiribati,2026,39,-0.005
Kiribati,2026,40,-0.005
Kiribati,2026,41,-0.004
Kiribati,2026,42,-0.004
Kiribati,2026,43,-0.004
Kiribati,2026,44,-0.004
Kiribati,2026,45,-0.004
Kiribati,2026,46,-0.003
Kiribati,2026,47,-0.003
Kiribati,2026,48,-0.002
Kiribati,2026,49,-0.002
Kiribati,2026,50,-0.002
Kiribati,2026,51,-0.002
Kiribati,2026,52,-0.002
Kiribati,2026,53,-0.002
Kiribati,2026,54,-0.002
Kiribati,2026,55,-0.002
Kiribati,2026,56,-0.002
Kiribati,2026,57,-0.002
Kiribati,2026,58,-0.002
Kiribati,2026,59,-0.002
Kiribati,2026,60,-0.002
Kiribati,2026,61,-0.002
Kiribati,2026,62,-0.002
Kiribati,2026,63,-0.002
