2.99314,1.91027,1.05211,0.68486,0.88875,1.02459,0.94013,0.78457,0.56435,0.39764,0.36754,0.32962,0.24584,0.19823,0.15927,0.13982
2.09296,6.31346,1.99005,0.76859,0.48195,0.87289,0.95943,0.90621,0.80841,0.48409,0.36888,0.3183,0.26721,0.20238,0.15995,0.13992
0.9559,2.9804,8.19022,1.41032,0.63798,0.55849,0.64834,0.81024,0.85067,0.56462,0.36634,0.26034,0.20611,0.18847,0.1641,0.14399
0.641,1.07666,3.23317,7.96332,1.58292,0.73533,0.49283,0.68169,0.73901,0.65122,0.40281,0.26301,0.204,0.17245,0.14788,0.13466
0.94198,0.74529,0.76175,3.06488,3.85487,1.66927,0.91279,0.72957,0.69462,0.72699,0.50395,0.35369,0.24651,0.17932,0.18212,0.14863
1.65413,0.87595,0.53752,1.21689,2.36388,2.67183,1.55196,1.15736,0.9704,0.82064,0.74354,0.47612,0.34609,0.23111,0.18274,0.14608
1.5663,1.62837,1.19673,0.69486,1.27775,1.73123,1.88293,1.47704,1.15173,0.88755,0.68041,0.54211,0.37483,0.24366,0.16787,0.15499
1.48503,1.88668,1.42255,1.0559,0.95608,1.40652,1.53526,1.92251,1.63631,1.08684,0.81064,0.51374,0.37309,0.26544,0.21267,0.16823
1.08608,1.43756,1.58894,1.23425,1.1612,1.23881,1.45181,1.54431,1.81755,1.32214,0.94427,0.47422,0.39295,0.26993,0.2156,0.20525
0.63883,0.85711,1.02417,1.38705,1.12613,1.09959,1.17179,1.3064,1.35943,1.36433,0.94658,0.58022,0.34864,0.25666,0.21927,0.18292
0.80892,0.79227,1.01211,1.22633,1.35887,1.46243,1.17738,1.10655,1.41447,1.42606,1.12605,0.78435,0.41447,0.23281,0.21783,0.19731
1.12932,0.99572,0.84112,0.87685,1.02615,1.3294,1.26274,0.98511,1.05748,0.87653,0.9155,0.74378,0.48559,0.27064,0.18785,0.17131
1.13168,0.97167,0.70436,0.68212,0.78885,0.97066,0.94197,0.97359,0.86239,0.68603,0.58435,0.59872,0.43305,0.31156,0.22297,0.18047
0.83777,0.98801,0.70622,0.50532,0.62987,0.72526,0.82221,0.75239,0.75043,0.48034,0.4462,0.41928,0.3759,0.29987,0.23187,0.16859
0.43482,0.83945,0.71066,0.75745,0.43561,0.55751,0.487,0.66638,0.73989,0.551,0.3762,0.30519,0.39987,0.32155,0.29192,0.18779
0.60629,0.62994,0.75628,0.60759,0.37995,0.36705,0.47231,0.52013,0.55712,0.54202,0.43898,0.29936,0.23576,0.26247,0.23513,0.17862
